facility_id,facility_name,state,ami_excess_ratio,cabg_excess_ratio,copd_excess_ratio,hf_excess_ratio,hip_knee_excess_ratio,pn_excess_ratio,ami_predicted_rate,cabg_predicted_rate,copd_predicted_rate,hf_predicted_rate,hip_knee_predicted_rate,pn_predicted_rate,ami_expected_rate,cabg_expected_rate,copd_expected_rate,hf_expected_rate,hip_knee_expected_rate,pn_expected_rate,ami_discharges,cabg_discharges,copd_discharges,hf_discharges,hip_knee_discharges,pn_discharges,n_valid_measures,mean_predicted_rate,total_discharges,state_encoded
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,0.937,0.9531,0.9823,1.0233,0.9875,0.9871,13.2998,10.396,16.6384,20.5695,4.5734,15.7529,14.1948,10.9078,16.9389,20.101,4.6311,15.9591,273.0,137.0,122.0,653.0,,507.0,6,13.538333333333334,1692.0,1
010005,MARSHALL MEDICAL CENTERS,AL,,,0.9308,1.0087,0.8602,0.8727,,,16.8541,20.9512,4.6113,13.3116,,,18.108,20.77,5.3609,15.2532,,,132.0,164.0,,292.0,4,13.93205,588.0,1
010006,NORTH ALABAMA MEDICAL CENTER,AL,0.9195,1.0027,1.052,0.9925,1.0527,0.9819,11.6567,11.1697,19.1045,19.2066,6.083,15.6444,12.6772,11.1399,18.1604,19.3517,5.7783,15.9334,285.0,,174.0,461.0,,679.0,6,13.810816666666668,1599.0,1
010007,MIZELL MEMORIAL HOSPITAL,AL,,,1.0232,1.062,,1.0345,,,16.5931,19.6947,,16.336,,,16.2168,18.5446,,15.7913,,,,39.0,,84.0,3,17.54126666666667,123.0,1
010008,CRENSHAW COMMUNITY HOSPITAL,AL,,,,,,1.0017,,,,,,13.4114,,,,,,13.3883,,,,,,,1,13.4114,,1
010011,ST. VINCENT'S EAST,AL,0.9697,1.1213,0.9988,1.0373,,1.0102,11.4644,12.5649,19.4501,19.906,,16.1282,11.8232,11.2054,19.4725,19.1894,,15.9654,118.0,63.0,57.0,268.0,,281.0,5,15.902719999999999,787.0,1
010012,DEKALB REGIONAL MEDICAL CENTER,AL,1.0565,,0.9934,1.084,0.9322,1.0206,11.4786,,13.8163,19.6001,4.0417,15.253,10.865,,13.9081,18.0817,4.3357,14.9444,,,,98.0,,142.0,5,12.837939999999998,240.0,1
010016,SHELBY BAPTIST MEDICAL CENTER,AL,1.027,1.0875,0.9888,1.0053,1.1004,1.0292,14.8776,12.3307,17.7859,20.1019,6.2549,16.7023,14.4868,11.339,17.9874,19.9957,5.6843,16.2284,,,,212.0,,216.0,6,14.675550000000001,428.0,1
010019,HELEN KELLER HOSPITAL,AL,,,1.0327,0.9057,1.2168,1.0061,,,17.547,17.2859,5.4095,13.8755,,,16.991,19.0851,4.4458,13.7919,,,169.0,255.0,,235.0,4,13.529475000000001,659.0,1
010021,DALE MEDICAL CENTER,AL,,,,,,1.002,,,,,,13.9025,,,,,,13.8749,,,,,,,1,13.9025,,1
